text_id,entity_text,entity_label,model
1,IPCC,MISC,spaCy_xx_ent_wiki_sm
1,Sixth Assessment Report,MISC,spaCy_xx_ent_wiki_sm
1,Celsius,PER,spaCy_xx_ent_wiki_sm
1,Antonio Guterres,PER,spaCy_xx_ent_wiki_sm
1,COP,ORG,spaCy_xx_ent_wiki_sm
2,COP28,LOC,spaCy_xx_ent_wiki_sm
2,Dubai,LOC,spaCy_xx_ent_wiki_sm
2,United Arab Emirates,ORG,spaCy_xx_ent_wiki_sm
3,World Bank,ORG,spaCy_xx_ent_wiki_sm
3,Sub-Saharan Africa,ORG,spaCy_xx_ent_wiki_sm
3,South Asia,LOC,spaCy_xx_ent_wiki_sm
3,World Bank,ORG,spaCy_xx_ent_wiki_sm
3,Ajay Banga,PER,spaCy_xx_ent_wiki_sm
4,Jordan,PER,spaCy_xx_ent_wiki_sm
4,National Climate Change Policy,ORG,spaCy_xx_ent_wiki_sm
4,Ministry of Environment,ORG,spaCy_xx_ent_wiki_sm
4,UNDP,ORG,spaCy_xx_ent_wiki_sm
4,European Union,ORG,spaCy_xx_ent_wiki_sm
5,UNFCCC,ORG,spaCy_xx_ent_wiki_sm
5,Simon Stiell,PER,spaCy_xx_ent_wiki_sm
5,Bonn Climate Change Conference,ORG,spaCy_xx_ent_wiki_sm
5,Paris Agreement,ORG,spaCy_xx_ent_wiki_sm
5,NDCs,MISC,spaCy_xx_ent_wiki_sm
6,European Union,ORG,spaCy_xx_ent_wiki_sm
6,Carbon Border Adjustment Mechanism,MISC,spaCy_xx_ent_wiki_sm
6,EU,ORG,spaCy_xx_ent_wiki_sm
7,United Nations General Assembly,ORG,spaCy_xx_ent_wiki_sm
7,Climate Ambition Summit,MISC,spaCy_xx_ent_wiki_sm
7,New York,LOC,spaCy_xx_ent_wiki_sm
7,Paris Agreement,ORG,spaCy_xx_ent_wiki_sm
8,FAO,ORG,spaCy_xx_ent_wiki_sm
8,State of Food and Agriculture,ORG,spaCy_xx_ent_wiki_sm
8,FAO,ORG,spaCy_xx_ent_wiki_sm
8,Qu Dongyu,PER,spaCy_xx_ent_wiki_sm
9,Green Climate Fund,ORG,spaCy_xx_ent_wiki_sm
9,Songdo,LOC,spaCy_xx_ent_wiki_sm
9,South Korea,LOC,spaCy_xx_ent_wiki_sm
9,Bangladesh,LOC,spaCy_xx_ent_wiki_sm
9,Congo Basin,LOC,spaCy_xx_ent_wiki_sm
9,Jordan,LOC,spaCy_xx_ent_wiki_sm
10,China's,MISC,spaCy_xx_ent_wiki_sm
10,Xie Zhenhua,PER,spaCy_xx_ent_wiki_sm
10,US Climate Envoy,ORG,spaCy_xx_ent_wiki_sm
10,John Kerry,PER,spaCy_xx_ent_wiki_sm
10,Sunnylands,LOC,spaCy_xx_ent_wiki_sm
10,California,LOC,spaCy_xx_ent_wiki_sm
10,Paris Agreement,ORG,spaCy_xx_ent_wiki_sm
10,COP28,MISC,spaCy_xx_ent_wiki_sm
11,NASA,ORG,spaCy_xx_ent_wiki_sm
11,Goddard Institute for Space Studies,ORG,spaCy_xx_ent_wiki_sm
11,Celsius,PER,spaCy_xx_ent_wiki_sm
11,El Nino,LOC,spaCy_xx_ent_wiki_sm
11,Southern Europe,LOC,spaCy_xx_ent_wiki_sm
11,North Africa,LOC,spaCy_xx_ent_wiki_sm
11,Middle East,LOC,spaCy_xx_ent_wiki_sm
12,Science,MISC,spaCy_xx_ent_wiki_sm
12,Greenland Ice Sheet,ORG,spaCy_xx_ent_wiki_sm
12,GRACE,MISC,spaCy_xx_ent_wiki_sm
12,GRACE-FO,MISC,spaCy_xx_ent_wiki_sm
13,Arctic,LOC,spaCy_xx_ent_wiki_sm
13,National Snow and,ORG,spaCy_xx_ent_wiki_sm
13,Boulder,LOC,spaCy_xx_ent_wiki_sm
13,Colorado,LOC,spaCy_xx_ent_wiki_sm
13,Arctic,LOC,spaCy_xx_ent_wiki_sm
14,Great Barrier Reef Foundation,LOC,spaCy_xx_ent_wiki_sm
14,Celsius,PER,spaCy_xx_ent_wiki_sm
14,surveyed,LOC,spaCy_xx_ent_wiki_sm
15,Max Planck Institute for Meteorology,ORG,spaCy_xx_ent_wiki_sm
15,Nature Geoscience,MISC,spaCy_xx_ent_wiki_sm
15,Atlantic Meridional Overturning Circulation,ORG,spaCy_xx_ent_wiki_sm
15,AMOC,ORG,spaCy_xx_ent_wiki_sm
15,North Atlantic,LOC,spaCy_xx_ent_wiki_sm
15,Northern Europe,LOC,spaCy_xx_ent_wiki_sm
15,US East Coast,ORG,spaCy_xx_ent_wiki_sm
16,CO2,MISC,spaCy_xx_ent_wiki_sm
16,Mauna Loa Observatory,LOC,spaCy_xx_ent_wiki_sm
16,Hawaii,LOC,spaCy_xx_ent_wiki_sm
16,NOAA,ORG,spaCy_xx_ent_wiki_sm
17,University of Leeds,ORG,spaCy_xx_ent_wiki_sm
17,Geophysical Research Letters,ORG,spaCy_xx_ent_wiki_sm
17,Himalayan,PER,spaCy_xx_ent_wiki_sm
18,World Meteorological Organization,ORG,spaCy_xx_ent_wiki_sm
