category,normalized_entity,term_frequency,category_document_frequency,idf,importance_score
policy,2030,14,4,1.0,14.0
adaptation,Jordan,10,4,1.0,10.0
policy,the Paris Agreement,5,1,1.916290731874155,9.581453659370776
adaptation,annually,8,4,1.0,8.0
science,the Middle East,5,2,1.5108256237659907,7.554128118829953
policy,2022,5,2,1.5108256237659907,7.554128118829953
adaptation,2024,6,3,1.2231435513142097,7.338861307885258
adaptation,2030,7,4,1.0,7.0
adaptation,40%,5,3,1.2231435513142097,6.1157177565710485
adaptation,2025,4,2,1.5108256237659907,6.043302495063963
adaptation,Amman,4,2,1.5108256237659907,6.043302495063963
science,CO2,4,2,1.5108256237659907,6.043302495063963
impact,the Middle East,4,2,1.5108256237659907,6.043302495063963
impact,South Asia,4,2,1.5108256237659907,6.043302495063963
impact,2023,6,4,1.0,6.0
impact,Jordan,6,4,1.0,6.0
science,2023,6,4,1.0,6.0
policy,$1.3 trillion,3,1,1.916290731874155,5.748872195622465
adaptation,Morocco,3,1,1.916290731874155,5.748872195622465
science,Red Sea,3,1,1.916290731874155,5.748872195622465
science,NASA,3,1,1.916290731874155,5.748872195622465
science,Arctic,3,1,1.916290731874155,5.748872195622465
adaptation,Europe,3,1,1.916290731874155,5.748872195622465
adaptation,2023,5,4,1.0,5.0
policy,annual,5,4,1.0,5.0
impact,Amman,3,2,1.5108256237659907,4.532476871297972
impact,1970,3,2,1.5108256237659907,4.532476871297972
policy,China,3,2,1.5108256237659907,4.532476871297972
adaptation,Israel,3,2,1.5108256237659907,4.532476871297972
policy,October 2023,3,2,1.5108256237659907,4.532476871297972
adaptation,FAO,3,2,1.5108256237659907,4.532476871297972
adaptation,2050,4,4,1.0,4.0
policy,2023,4,4,1.0,4.0
adaptation,African,2,1,1.916290731874155,3.83258146374831
adaptation,Sahara,2,1,1.916290731874155,3.83258146374831
impact,August,2,1,1.916290731874155,3.83258146374831
science,the Atlantic Meridional Overturning Circulation,2,1,1.916290731874155,3.83258146374831
impact,Turkey,2,1,1.916290731874155,3.83258146374831
adaptation,the Jordanian Ministry of Agriculture,2,1,1.916290731874155,3.83258146374831
adaptation,"15,000",2,1,1.916290731874155,3.83258146374831
adaptation,Mafraq,2,1,1.916290731874155,3.83258146374831
adaptation,1972,2,1,1.916290731874155,3.83258146374831
adaptation,Masdar City,2,1,1.916290731874155,3.83258146374831
impact,The World Health Organization,2,1,1.916290731874155,3.83258146374831
adaptation,Middle Eastern,2,1,1.916290731874155,3.83258146374831
science,Science,2,1,1.916290731874155,3.83258146374831
adaptation,one,2,1,1.916290731874155,3.83258146374831
impact,Somalia,2,1,1.916290731874155,3.83258146374831
adaptation,Egypt,2,1,1.916290731874155,3.83258146374831
science,the Greenland Ice Sheet,2,1,1.916290731874155,3.83258146374831
science,the Gulf of Aqaba,2,1,1.916290731874155,3.83258146374831
adaptation,the World Bank,2,1,1.916290731874155,3.83258146374831
adaptation,"5,000",2,1,1.916290731874155,3.83258146374831
impact,Libya,2,1,1.916290731874155,3.83258146374831
policy,Germany,2,1,1.916290731874155,3.83258146374831
policy,Glasgow,2,1,1.916290731874155,3.83258146374831
science,Antarctic,2,1,1.916290731874155,3.83258146374831
science,February 2024,2,1,1.916290731874155,3.83258146374831
science,GRACE-FO,2,1,1.916290731874155,3.83258146374831
adaptation,3,2,1,1.916290731874155,3.83258146374831
policy,$250 million,2,1,1.916290731874155,3.83258146374831
policy,December 2023,2,1,1.916290731874155,3.83258146374831
science,Antarctic sea,2,1,1.916290731874155,3.83258146374831
impact,two,2,1,1.916290731874155,3.83258146374831
impact,Tuvalu,2,1,1.916290731874155,3.83258146374831
science,1900,2,1,1.916290731874155,3.83258146374831
science,20-year,2,1,1.916290731874155,3.83258146374831
impact,12 million,2,1,1.916290731874155,3.83258146374831
science,80,2,1,1.916290731874155,3.83258146374831
adaptation,12,2,1,1.916290731874155,3.83258146374831
science,the University of Jordan,2,1,1.916290731874155,3.83258146374831
adaptation,50%,3,3,1.2231435513142097,3.669430653942629
adaptation,Kenya,3,3,1.2231435513142097,3.669430653942629
policy,2100,3,3,1.2231435513142097,3.669430653942629
science,Saudi Arabia,3,3,1.2231435513142097,3.669430653942629
science,September 2023,3,3,1.2231435513142097,3.669430653942629
impact,Mediterranean,3,3,1.2231435513142097,3.669430653942629
policy,50%,3,3,1.2231435513142097,3.669430653942629
adaptation,the Jordan Valley,3,3,1.2231435513142097,3.669430653942629
impact,Sahel,2,2,1.5108256237659907,3.0216512475319814
science,July 2023,2,2,1.5108256237659907,3.0216512475319814
adaptation,60%,2,2,1.5108256237659907,3.0216512475319814
science,NOAA,2,2,1.5108256237659907,3.0216512475319814
impact,2 degrees,2,2,1.5108256237659907,3.0216512475319814
policy,the United States,2,2,1.5108256237659907,3.0216512475319814
adaptation,2021,2,2,1.5108256237659907,3.0216512475319814
science,three,2,2,1.5108256237659907,3.0216512475319814
policy,1.5 degrees,2,2,1.5108256237659907,3.0216512475319814
science,2022,2,2,1.5108256237659907,3.0216512475319814
policy,2021,2,2,1.5108256237659907,3.0216512475319814
science,2 degrees,2,2,1.5108256237659907,3.0216512475319814
science,Southern Europe,2,2,1.5108256237659907,3.0216512475319814
policy,Bangladesh,2,2,1.5108256237659907,3.0216512475319814
policy,June 2024,2,2,1.5108256237659907,3.0216512475319814
policy,FAO,2,2,1.5108256237659907,3.0216512475319814
science,El Nino,2,2,1.5108256237659907,3.0216512475319814
policy,2050,3,4,1.0,3.0
impact,annually,3,4,1.0,3.0
policy,Jordan,3,4,1.0,3.0
policy,India,3,4,1.0,3.0
adaptation,Mediterranean,2,3,1.2231435513142097,2.4462871026284194
adaptation,80%,2,3,1.2231435513142097,2.4462871026284194
science,Jordanian,2,3,1.2231435513142097,2.4462871026284194
policy,UNEP,2,3,1.2231435513142097,2.4462871026284194
adaptation,Saudi Arabia,2,3,1.2231435513142097,2.4462871026284194
science,North Africa,2,3,1.2231435513142097,2.4462871026284194
adaptation,Jordanian,2,3,1.2231435513142097,2.4462871026284194
impact,50%,2,3,1.2231435513142097,2.4462871026284194
adaptation,Africa,2,3,1.2231435513142097,2.4462871026284194
adaptation,UNEP,2,3,1.2231435513142097,2.4462871026284194
science,2100,2,3,1.2231435513142097,2.4462871026284194
impact,2030,2,4,1.0,2.0
science,Jordan,2,4,1.0,2.0
policy,annually,2,4,1.0,2.0
policy,first,2,4,1.0,2.0
science,March 2024,2,4,1.0,2.0
impact,annual,2,4,1.0,2.0
adaptation,India,2,4,1.0,2.0
adaptation,annual,2,4,1.0,2.0
science,2030,2,4,1.0,2.0
science,2050,2,4,1.0,2.0
science,annually,2,4,1.0,2.0
adaptation,first,2,4,1.0,2.0
adaptation,"25,000",1,1,1.916290731874155,1.916290731874155
adaptation,250 million,1,1,1.916290731874155,1.916290731874155
adaptation,28%,1,1,1.916290731874155,1.916290731874155
adaptation,29%,1,1,1.916290731874155,1.916290731874155
adaptation,"500-5,000",1,1,1.916290731874155,1.916290731874155
adaptation,500-megawatt,1,1,1.916290731874155,1.916290731874155
adaptation,52%,1,1,1.916290731874155,1.916290731874155
adaptation,580 megawatts,1,1,1.916290731874155,1.916290731874155
adaptation,6 million,1,1,1.916290731874155,1.916290731874155
adaptation,"6,000",1,1,1.916290731874155,1.916290731874155
adaptation,"60,000",1,1,1.916290731874155,1.916290731874155
adaptation,60-80%,1,1,1.916290731874155,1.916290731874155
adaptation,600,1,1,1.916290731874155,1.916290731874155
adaptation,600 tonnes,1,1,1.916290731874155,1.916290731874155
adaptation,"600,000",1,1,1.916290731874155,1.916290731874155
adaptation,34,1,1,1.916290731874155,1.916290731874155
adaptation,35 million,1,1,1.916290731874155,1.916290731874155
adaptation,38,1,1,1.916290731874155,1.916290731874155
adaptation,4,1,1,1.916290731874155,1.916290731874155
adaptation,"760,000 tonnes",1,1,1.916290731874155,1.916290731874155
adaptation,8 million cubic meters,1,1,1.916290731874155,1.916290731874155
adaptation,"8,000 kilometers",1,1,1.916290731874155,1.916290731874155
adaptation,800 megawatts,1,1,1.916290731874155,1.916290731874155
adaptation,863 megawatts,1,1,1.916290731874155,1.916290731874155
adaptation,89%,1,1,1.916290731874155,1.916290731874155
adaptation,95%,1,1,1.916290731874155,1.916290731874155
adaptation,98%,1,1,1.916290731874155,1.916290731874155
adaptation,99.5%,1,1,1.916290731874155,1.916290731874155
