error_type,text_id,predicted_text,predicted_label,gold_text,gold_label
type_error,1,Sixth Assessment Report,EVENT,Sixth Assessment Report,WORK_OF_ART
boundary_error,1,1.5 degrees,QUANTITY,1.5 degrees Celsius,QUANTITY
spurious_entity,1,2030,DATE,,
spurious_entity,1,Antonio Guterres,PERSON,,
spurious_entity,1,COP,ORG,,
spurious_entity,2,190,CARDINAL,,
spurious_entity,2,The United Arab Emirates,GPE,,
spurious_entity,2,two weeks,DATE,,
spurious_entity,2,2030,DATE,,
boundary_error,3,The World Bank,ORG,World Bank,ORG
boundary_error,3,June 2024,DATE,June 2024,DATE
spurious_entity,3,Sub-Saharan Africa,ORG,,
boundary_error,3,South Asia,LOC,Sub-Saharan Africa,LOC
spurious_entity,3,World Bank,ORG,,
spurious_entity,3,Ajay Banga,PERSON,,
spurious_entity,4,National Climate Change Policy,ORG,,
spurious_entity,4,2022,DATE,,
spurious_entity,4,31%,PERCENT,,
spurious_entity,4,2030,DATE,,
boundary_error,4,The Ministry of Environment,ORG,European Union,ORG
spurious_entity,4,UNDP,ORG,,
spurious_entity,4,the European Union,ORG,,
spurious_entity,5,the Bonn Climate Change Conference,ORG,,
boundary_error,5,June 2024,DATE,June 2024,DATE
spurious_entity,5,the Paris Agreement,EVENT,,
spurious_entity,5,February 2025,DATE,,
boundary_error,6,The European Union's,ORG,European Union,ORG
type_error,6,Carbon Border Adjustment Mechanism,ORG,Carbon Border Adjustment Mechanism,LAW
boundary_error,6,October 2023,DATE,October 2023,DATE
spurious_entity,6,EU,ORG,,
spurious_entity,6,January 2026,DATE,,
boundary_error,7,the United Nations General Assembly,ORG,United Nations General Assembly,ORG
spurious_entity,7,the Climate Ambition Summit,ORG,,
boundary_error,7,New York,GPE,New York,GPE
spurious_entity,7,the Paris Agreement,EVENT,,
spurious_entity,8,State of Food and Agriculture 2023,ORG,,
spurious_entity,8,735 million,CARDINAL,,
spurious_entity,8,2022,DATE,,
spurious_entity,8,FAO,ORG,,
spurious_entity,8,Qu Dongyu,PERSON,,
spurious_entity,8,$4 billion,MONEY,,
